drag,lift,param_a,param_b,param_c
0.7809563389083448,-0.38679724400514587,0.13,0.1,0.3
0.7917959661760949,-0.3701192396116483,0.13,0.1,0.5333333333333333
0.8129404890393404,-0.40530043750580497,0.13,0.1,0.7666666666666666
0.7988821700412408,-0.4247728623504874,0.13,0.15,0.3
0.7999445843891488,-0.4182209273523214,0.13,0.15,0.5333333333333333
0.8273242777549126,-0.44415145461271377,0.13,0.2,0.5333333333333333
0.8335771491009618,-0.451420683439353,0.13,0.2,0.7666666666666666
0.8692827363486136,-0.45896422832714506,0.13,0.25,0.5333333333333333
0.8220175467586935,-0.3647917344981211,0.18333333333333332,0.1,0.3
0.7860378719082117,-0.3412366446740581,0.18333333333333332,0.1,0.5333333333333333
0.8088004398712244,-0.3739961054320137,0.18333333333333332,0.1,0.7666666666666666
0.8087301414190995,-0.3924701338262782,0.18333333333333332,0.15,0.3
0.7991089892886827,-0.37795334638397937,0.18333333333333332,0.15,0.5333333333333333
0.8201779689634549,-0.39959017360855337,0.18333333333333332,0.15,0.7666666666666666
0.8298958706261299,-0.4186080391376569,0.18333333333333332,0.2,0.3
0.8281419606136553,-0.4099761894911183,0.18333333333333332,0.2,0.5333333333333333
0.8482801473516706,-0.4295926735811665,0.18333333333333332,0.2,0.7666666666666666
0.8647887284768156,-0.4247312445170693,0.18333333333333332,0.25,0.3
0.8681773096911498,-0.42540777640249294,0.18333333333333332,0.25,0.5333333333333333
0.8688252500157749,-0.4246675143742853,0.18333333333333332,0.25,0.7666666666666666
0.7707916563812696,-0.2669295070687766,0.23666666666666664,0.1,0.3
0.7842520945389749,-0.25337607217147434,0.23666666666666664,0.1,0.5333333333333333
0.8056961119631408,-0.2954701456903858,0.23666666666666664,0.1,0.7666666666666666
0.7886879318261024,-0.3065109082923916,0.23666666666666664,0.15,0.3
0.8006463999160995,-0.2985369093806252,0.23666666666666664,0.15,0.5333333333333333
0.8148071886329784,-0.3210422433527373,0.23666666666666664,0.15,0.7666666666666666
0.8130694009234081,-0.3267121885140597,0.23666666666666664,0.2,0.5333333333333333
0.8287707511613717,-0.3376231828494577,0.23666666666666664,0.2,0.7666666666666666
0.8589403438527258,-0.3447635748054293,0.23666666666666664,0.25,0.3
0.8518998889630335,-0.3439684017207365,0.23666666666666664,0.25,0.5333333333333333
0.8596686151845465,-0.34281769330978146,0.23666666666666664,0.25,0.7666666666666666
0.8252169509016345,-0.5088726518076979,0.29,0.1,0.7666666666666666
0.8370748006306812,-0.5373357835782239,0.29,0.15,0.7666666666666666
0.8508195351715747,-0.5531078988819018,0.29,0.2,0.7666666666666666
0.8810238503644389,-0.5576397945973552,0.29,0.25,0.7666666666666666
